SPX Index;;;S5SFTW Index;;;S5PHRM Index;;;S5CPGS Index;;;S5ENRSX Index;;;S5FDBT Index;;;S5TECH Index;;;S5RETL Index;;;S5BANKX Index;;;S5HCES Index;;;S5DIVF Index;;;S5UTILX Index;;;S5MEDA Index;;;S5REAL Index;;;S5TELSX Index;;;S5MATRX Index;;;S5INSU Index;;;S5FDSR Index;;;S5HOUS Index;;;S5SSEQX Index;;;S5TRAN Index;;;S5HOTR Index;;;S5CODU Index;;;S5AUCO Index;;;S5COMS Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
9/25/1989;344.23;;9/25/1989;51.29;;9/25/1989;63.49;;9/25/1989;68.23;;9/25/1989;82.27;;9/25/1989;57.95;;9/25/1989;77.09;;9/25/1989;66.2;;9/25/1989;89.06;;9/25/1989;76.15;;9/25/1989;69.1142;;9/25/1989;95.51;;9/25/1989;80.82;;9/25/1989;#N/A N/A;;9/25/1989;90.93;;9/25/1989;78.32;;9/25/1989;76.65;;9/25/1989;72.06;;9/25/1989;48.77;;9/25/1989;28.05;;9/25/1989;88.05;;9/25/1989;71.41;;9/25/1989;77.35;;9/25/1989;85.75;;9/25/1989;94.63
9/26/1989;344.33;;9/26/1989;51.03;;9/26/1989;63.38;;9/26/1989;68.25;;9/26/1989;81.64;;9/26/1989;58.19;;9/26/1989;77.45;;9/26/1989;66.51;;9/26/1989;88.97;;9/26/1989;76.01;;9/26/1989;68.9865;;9/26/1989;95.44;;9/26/1989;81.39;;9/26/1989;#N/A N/A;;9/26/1989;91.01;;9/26/1989;78.05;;9/26/1989;77.28;;9/26/1989;72.28;;9/26/1989;48.69;;9/26/1989;28.24;;9/26/1989;87.45;;9/26/1989;71.58;;9/26/1989;77.32;;9/26/1989;86.6;;9/26/1989;94.75
9/27/1989;345.1;;9/27/1989;51.29;;9/27/1989;64.51;;9/27/1989;68.46;;9/27/1989;81.69;;9/27/1989;58.74;;9/27/1989;75.28;;9/27/1989;66.93;;9/27/1989;89.44;;9/27/1989;76.29;;9/27/1989;69.3624;;9/27/1989;95.28;;9/27/1989;81.53;;9/27/1989;#N/A N/A;;9/27/1989;91.28;;9/27/1989;78.15;;9/27/1989;77.78;;9/27/1989;72.4;;9/27/1989;48.6;;9/27/1989;28.06;;9/27/1989;87.51;;9/27/1989;71.85;;9/27/1989;77.65;;9/27/1989;86.22;;9/27/1989;96.55
9/28/1989;348.6;;9/28/1989;52.28;;9/28/1989;65.97;;9/28/1989;68.95;;9/28/1989;82.13;;9/28/1989;60.26;;9/28/1989;74.32;;9/28/1989;67.65;;9/28/1989;91.46;;9/28/1989;77.32;;9/28/1989;69.6213;;9/28/1989;95.73;;9/28/1989;82.15;;9/28/1989;#N/A N/A;;9/28/1989;92.26;;9/28/1989;78.55;;9/28/1989;78.84;;9/28/1989;73.47;;9/28/1989;49.35;;9/28/1989;28.29;;9/28/1989;88.69;;9/28/1989;72.94;;9/28/1989;78.31;;9/28/1989;86.33;;9/28/1989;98.86
9/29/1989;349.15;;9/29/1989;52.2;;9/29/1989;65.97;;9/29/1989;68.87;;9/29/1989;82.42;;9/29/1989;60.52;;9/29/1989;74.29;;9/29/1989;67.52;;9/29/1989;92.05;;9/29/1989;77.54;;9/29/1989;69.9496;;9/29/1989;95.71;;9/29/1989;82.19;;9/29/1989;#N/A N/A;;9/29/1989;92.56;;9/29/1989;78.8;;9/29/1989;80.34;;9/29/1989;73.61;;9/29/1989;49.22;;9/29/1989;28.3;;9/29/1989;89.27;;9/29/1989;72.39;;9/29/1989;78.07;;9/29/1989;85.26;;9/29/1989;98.48
10/2/1989;350.87;;10/2/1989;52.29;;10/2/1989;65.89;;10/2/1989;69.39;;10/2/1989;83.04;;10/2/1989;60.69;;10/2/1989;73.97;;10/2/1989;67.73;;10/2/1989;92.3;;10/2/1989;78.67;;10/2/1989;70.7756;;10/2/1989;95.88;;10/2/1989;82.98;;10/2/1989;#N/A N/A;;10/2/1989;92.65;;10/2/1989;79.52;;10/2/1989;81.27;;10/2/1989;73.98;;10/2/1989;49.55;;10/2/1989;28.2;;10/2/1989;89.8;;10/2/1989;72.31;;10/2/1989;79.37;;10/2/1989;85.97;;10/2/1989;98.93
10/3/1989;354.71;;10/3/1989;53.17;;10/3/1989;67;;10/3/1989;70.25;;10/3/1989;83.92;;10/3/1989;61.68;;10/3/1989;72.73;;10/3/1989;68.73;;10/3/1989;92.94;;10/3/1989;80;;10/3/1989;73.1001;;10/3/1989;96.29;;10/3/1989;83.75;;10/3/1989;#N/A N/A;;10/3/1989;93.79;;10/3/1989;80.44;;10/3/1989;82.9;;10/3/1989;74.91;;10/3/1989;50.54;;10/3/1989;27.97;;10/3/1989;90.52;;10/3/1989;73.19;;10/3/1989;79.4;;10/3/1989;87.76;;10/3/1989;99.65
10/4/1989;356.94;;10/4/1989;53.33;;10/4/1989;67.58;;10/4/1989;70.53;;10/4/1989;84.44;;10/4/1989;62.03;;10/4/1989;74.04;;10/4/1989;68.97;;10/4/1989;93.69;;10/4/1989;80.85;;10/4/1989;73.4826;;10/4/1989;96.23;;10/4/1989;84.43;;10/4/1989;#N/A N/A;;10/4/1989;94.68;;10/4/1989;80.72;;10/4/1989;82.97;;10/4/1989;75.79;;10/4/1989;51.15;;10/4/1989;28.49;;10/4/1989;91.02;;10/4/1989;72.69;;10/4/1989;79.9;;10/4/1989;88.1;;10/4/1989;100.28
10/5/1989;356.97;;10/5/1989;53.48;;10/5/1989;67.62;;10/5/1989;70.42;;10/5/1989;84.48;;10/5/1989;62.19;;10/5/1989;74.37;;10/5/1989;69.07;;10/5/1989;93.27;;10/5/1989;81.22;;10/5/1989;73.4084;;10/5/1989;96.25;;10/5/1989;83.95;;10/5/1989;#N/A N/A;;10/5/1989;94.67;;10/5/1989;80.25;;10/5/1989;82.93;;10/5/1989;75.76;;10/5/1989;51.16;;10/5/1989;28.84;;10/5/1989;92.96;;10/5/1989;73.43;;10/5/1989;79.48;;10/5/1989;88.22;;10/5/1989;100.21
